split,fabric_pattern,image_path,mask_path,anomaly,image_exists,image_sha256,width,height,mask_exists,mask_width,mask_height,mask_unique_values,mask_area_pixels,mask_area_fraction,bbox_aspect_ratio,mask_empty,issue
train,CL1,ydfid/CL1/train/good/ydfid_train_000000.bmp,,0,True,750c02218154550c32aab3179246f8e10f0d0b3a7dd0026a58582e4f3d3822d8,512,512,,,,,,,,,
train,CL1,ydfid/CL1/train/good/ydfid_train_000001.bmp,,0,True,3f172e4e9927edf9c58d210b384af08a3f44010c81d3be5e2b6887969244034e,512,512,,,,,,,,,
train,CL1,ydfid/CL1/train/good/ydfid_train_000002.bmp,,0,True,bec6c593136eb0343430ae70eeda5b07bcfb170291aeb9d1133dd2cb1a760146,512,512,,,,,,,,,
train,CL1,ydfid/CL1/train/good/ydfid_train_000003.bmp,,0,True,46754bc101f53dabc9e19a7d132da2ee8b2651e09bf143a4b5e9cbcc74c94c06,512,512,,,,,,,,,
train,CL1,ydfid/CL1/train/good/ydfid_train_000004.bmp,,0,True,11305e680242d16038930f3d2eff54234894cd045ffa712a8e1a7ce8a2835caf,512,512,,,,,,,,,
train,CL1,ydfid/CL1/train/good/ydfid_train_000005.bmp,,0,True,a8ec368d82803c9d2b3b7c8193f6992784548f2d5b90b3c62b66b2e006f79ad7,512,512,,,,,,,,,
train,CL1,ydfid/CL1/train/good/ydfid_train_000006.bmp,,0,True,7ca425f9749c88f8f0a77b37cff1e5722b2ab3512c10e73f0135d2dd6815fcb0,512,512,,,,,,,,,
train,CL1,ydfid/CL1/train/good/ydfid_train_000007.bmp,,0,True,c569af6e19e1bcb6540e42f8256cafdac8d03b2ee729762812e0a21b3762d54d,512,512,,,,,,,,,
train,CL1,ydfid/CL1/train/good/ydfid_train_000008.bmp,,0,True,a322184c9409588ab6c6d703ee0425eed0594ec38e68594b942a1c5d464640be,512,512,,,,,,,,,
train,CL1,ydfid/CL1/train/good/ydfid_train_000009.bmp,,0,True,ad758cf0ab3dfab7dbd8172a67cf6bb4063b5da11f53d8bccf7dc65ace6e8eef,512,512,,,,,,,,,
train,CL1,ydfid/CL1/train/good/ydfid_train_000010.bmp,,0,True,6cbc07698f27de8875cfe8ea91bfd4aaa8053695f719ba5184da6a589d525955,512,512,,,,,,,,,
train,CL1,ydfid/CL1/train/good/ydfid_train_000011.bmp,,0,True,34db8684ad922cee0b57189809bdb8b9b3d653cd757605882f0dd81e774b998e,512,512,,,,,,,,,
train,CL1,ydfid/CL1/train/good/ydfid_train_000012.bmp,,0,True,d7766d8a2e1147919a683d041f90466a6c43974b90e38d60e8c78ac3fd640b2c,512,512,,,,,,,,,
train,CL1,ydfid/CL1/train/good/ydfid_train_000013.bmp,,0,True,cae273c3257f0a337103935bc70a63a5d89bea5203af3ec8e084eaf6a1b82c5a,512,512,,,,,,,,,
train,CL1,ydfid/CL1/train/good/ydfid_train_000014.bmp,,0,True,94d15022481554faf21d29ee84a6fb9e81f3c62d2942903775f7d66b6de8ef33,512,512,,,,,,,,,
train,CL1,ydfid/CL1/train/good/ydfid_train_000015.bmp,,0,True,82ff02e215839b2a88b7e9dcd8159fe6d341232761058686dbb1aeba20c46bb1,512,512,,,,,,,,,
train,CL1,ydfid/CL1/train/good/ydfid_train_000016.bmp,,0,True,4949270ca748733c77565616430869dcbfba2bf72dc79ae1c1d3ffc0d4a48557,512,512,,,,,,,,,
train,CL1,ydfid/CL1/train/good/ydfid_train_000017.bmp,,0,True,511dbc17d13f9b0b9220b1e1d8ff2ee013c11a478a403f1d872594b02ab7f400,512,512,,,,,,,,,
train,CL1,ydfid/CL1/train/good/ydfid_train_000018.bmp,,0,True,41835140f61e71c117a95f9355b705dc53a838f0a8354a98974ced65b207c80f,512,512,,,,,,,,,
train,CL1,ydfid/CL1/train/good/ydfid_train_000019.bmp,,0,True,5f5003117b3e4eb85f150f4e1bc4ee50ce25d7f82ba10ff3733584fd8508e061,512,512,,,,,,,,,
train,CL1,ydfid/CL1/train/good/ydfid_train_000020.bmp,,0,True,f9a4fd39ed632e425b351f4c50908a1d92ecd94d0fa69007fe1790feed452e9f,512,512,,,,,,,,,
train,CL1,ydfid/CL1/train/good/ydfid_train_000021.bmp,,0,True,e93410820f7dc68a54c65bad0c27f1735cf6e85977b295d1e7d2cdf808c23688,512,512,,,,,,,,,
train,CL1,ydfid/CL1/train/good/ydfid_train_000022.bmp,,0,True,07c95cf2f186fd52462079a4f5e669112b77f33471605a3b2f4a0b91161e8a36,512,512,,,,,,,,,
train,CL1,ydfid/CL1/train/good/ydfid_train_000023.bmp,,0,True,63b4dc108d4b18ddf868dbffa5c90a9884341178748118ee82de8a7d460841d5,512,512,,,,,,,,,
train,CL1,ydfid/CL1/train/good/ydfid_train_000024.bmp,,0,True,67cb54089062a7c70d6d8e6ecf27d92df536a2a75571f7ef001039baccb4c55f,512,512,,,,,,,,,
train,CL1,ydfid/CL1/train/good/ydfid_train_000025.bmp,,0,True,92c5c1d57c414984efef5c00bddcb017d88671b3d8cf5ad4e0bce1f7f52a29c7,512,512,,,,,,,,,
train,CL1,ydfid/CL1/train/good/ydfid_train_000026.bmp,,0,True,4b55cc3627b1835d5595e43e558dd84a6c605f3dcb3a603f810a94c53189d8fc,512,512,,,,,,,,,
